股票代碼,公司名稱,公司簡稱,統編,自訂產業別,要看報告書,標記V為官方報告書；標記O為自出報告書；文字為集團報告書
,台灣康寧顯示玻璃股份有限公司,台灣康寧顯示玻璃,	04388145,玻璃業,O,
1101,台灣水泥股份有限公司,台灣水泥,11913502,水泥業,V,
1102,亞洲水泥股份有限公司,亞洲水泥,	03244509,水泥業,V,
1104,環球水泥股份有限公司,環球水泥,	07568009,水泥業,V,
,三福氣體股份有限公司,三福氣體,11072509,石化業,O,
1108,幸福水泥股份有限公司,幸福水泥,40601248,水泥業,V,
1109,信大水泥股份有限公司,信大水泥,	03279507,水泥業,V,
1215,台灣卜蜂企業股份有限公司,台灣卜蜂企業,36514783,食品業,V,
1216,統一企業股份有限公司,統一企業,73251209,食品業,V,
1220,台榮產業股份有限公司,台榮產業,	03543210,食品業,V,
1232,大統益股份有限公司,大統益,20927014,食品業,V,
1237,台灣糖業股份有限公司,台灣糖業,	03794905,食品業,V,
1301,台灣塑膠工業股份有限公司,台灣塑膠工業,75708007,石化業,V,
1303,南亞塑膠工業股份有限公司,南亞塑膠工業,75370905,石化業,V,
1304,台灣聚合化學品股份有限公司,台灣聚合化學品,11917107,石化業,V,
1305,華夏海灣塑膠股份有限公司,華夏海灣塑膠,11686106,石化業,V,
1307,三芳化學工業股份有限公司,三芳化學工業,83387850,石化業,V,
1308,亞洲聚合股份有限公司,亞洲聚合,20747385,石化業,V,
1309,台達化學工業股份有限公司,台達化學工業,11893409,石化業,V,
1310,台灣苯乙烯工業股份有限公司,台灣苯乙烯工業,20844865,石化業,V,
1312,國喬石油化學股份有限公司,國喬石油化學,	04212250,石化業,V,
1313,聯成化學科技股份有限公司,聯成化學科技,	04748660,石化業,V,
1314,中國石油化學工業開發股份有限公司,中國石油化學工業開發,	03084741,石化業,V,
1326,台灣化學纖維股份有限公司,台灣化學纖維,58650902,石化業,V,
1328,台灣中油股份有限公司,台灣中油,	03707901,石化業,V,
1402,遠東新世紀股份有限公司,遠東新世紀,	03522600,石化業,V,
1409,新光合成纖維股份有限公司,新光合成纖維,	07435515,紡織業,V,
1413,宏洲纖維工業股份有限公司,宏洲纖維工業,	07220710,石化業,V,
1434,福懋興業股份有限公司,福懋興業,14001199,紡織業,V,
